r_f_addr,mi_ctrline,oneway_dir,displayrou,r_t_addr,f_street,objectid,pre_dir,st_type,t_street,l_f_addr,street,l_t_addr,st_name,AREA,PERIMETER,COMAREA_,COMAREA_ID,AREA_NUMBE,COMMUNITY,SHAPE_AREA,SHAPE_LEN,length
3200,0.495169733402,,BIKE LANE,3556,S CENTRAL PARK AVE,1,W,RD,S KEDZIE AVE,3201,MARQUETTE RD,3557,MARQUETTE,0,0,0,0,66,CHICAGO LAWN,98279465.1151,40073.0998382,796.893431013298
3158,0.252403055895,,SHARED-LANE,3000,S KEDZIE AVE,2,W,RD,S SACRAMENTO AVE,3159,MARQUETTE RD,3001,MARQUETTE,0,0,0,0,66,CHICAGO LAWN,98279465.1151,40073.0998382,406.200476490145
1900,0.757320648958,,BIKE LANE,1400,S DAMEN AVE,3,W,ST,S LOOMIS ST,1901,18TH ST,1401,18TH,0,0,0,0,31,LOWER WEST SIDE,81550723.6377,43229.3727036,1218.77667642663
8101,0.754309006935,,BUFFERED BIKE LANE,8701,E 81ST ST,4,S,DR,E 87TH ST,8100,LAKE SHORE DR,8700,LAKE SHORE,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,1213.91049330701
3100,1.52276829318,,PROTECTED BIKE LANE,2060,N KEDZIE AVE,5,W,ST,N DAMEN AVE,3101,LAKE ST,2063,LAKE,0,0,0,0,27,EAST GARFIELD PARK,53883220.8462,31514.6259565,1216.52577967436
3100,1.52276829318,,PROTECTED BIKE LANE,2060,N KEDZIE AVE,5,W,ST,N DAMEN AVE,3101,LAKE ST,2063,LAKE,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,1234.11282088433
350,0.306834750149,S,SHARED-LANE,150,W VAN BUREN ST,6,S,ST,W ARCADE PL,351,WELLS ST,151,WELLS,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,493.795514572291
1401,0.140520395258,W,BUFFERED BIKE LANE,1463,S DORCHESTER AVE,7,E,PL,E 55TH ST,1400,55TH PL,1464,55TH,0,0,0,0,41,HYDE PARK,45105380.1732,29746.7082016,226.141151511016
1351,0.0456950799316,E,PROTECTED BIKE LANE,1391,E 55TH ST,8,E,PL,S DORCHESTER AVE,1366,55TH PL,1390,55TH,0,0,0,0,41,HYDE PARK,45105380.1732,29746.7082016,73.53765440412
899,0.26595669479,,BUFFERED BIKE LANE,600,E 9TH ST,9,S,AVE,E HARRISON ST,898,WABASH AVE,601,WABASH,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,428.009212312135
3786,0.250498186704,,PROTECTED BIKE LANE,3600,S HAMLIN BLVD,10,W,BLVD,S CENTRAL PARK BLVD,3787,JACKSON BLVD,3601,JACKSON,0,0,0,0,26,WEST GARFIELD PARK,36092848.8151,26238.5419796,0.260697864649495
3786,0.250498186704,,PROTECTED BIKE LANE,3600,S HAMLIN BLVD,10,W,BLVD,S CENTRAL PARK BLVD,3787,JACKSON BLVD,3601,JACKSON,0,0,0,0,27,EAST GARFIELD PARK,53883220.8462,31514.6259565,402.875008615476
825,0.0969696460885,,BUFFERED BIKE LANE,871,N MILWAUKEE AVE,11,N,AVE,W CHESTNUT ST,828,ELSTON AVE,874,ELSTON,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,156.055677414575
2001,0.251120712828,,BIKE LANE,2201,W ARMITAGE AVE,12,N,ST,W WEBSTER AVE,2000,HALSTED ST,2200,HALSTED,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,404.134484504461
2801,0.252651174188,,BUFFERED BIKE LANE,3001,W DIVERSEY PKWY,13,N,ST,W WELLINGTON AVE,2800,HALSTED ST,3000,HALSTED,0,0,0,0,6,LAKE VIEW,87214799.2728,51973.0968677,406.597522703633
2058,0.127532781843,,BUFFERED BIKE LANE,2000,S HOYNE AVE,34,W,BLVD,S DAMEN AVE,2057,JACKSON BLVD,2001,JACKSON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,205.242182072433
2412,0.277461946576,,BIKE LANE,2201,W 24TH BLVD,14,S,AVE,W CERMAK RD,2411,CALIFORNIA AVE,2200,CALIFORNIA,0,0,0,0,30,SOUTH LAWNDALE,127998297.867,49904.0452102,446.528359529004
501,0.376514794752,,BIKE LANE,759,S EBERHART AVE,15,E,RD,S COTTAGE GROVE AVE,500,MARQUETTE RD,758,MARQUETTE,0,0,0,0,42,WOODLAWN,57815179.512,46936.9592443,605.931184830766
726,0.0511356380185,E,BUFFERED BIKE LANE,724,N HALSTED ST,16,W,BLVD,I-90/94,725,WASHINGTON BLVD,723,WASHINGTON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,82.2937679226331
377,0.210071864203,,BIKE LANE,531,S DR MARTIN LUTHER KING JR DR,17,E,BLVD,S VINCENNES AVE,376,OAKWOOD BLVD,530,OAKWOOD,0,0,0,0,38,GRAND BOULEVARD,48492503.1554,28196.8371573,338.072206817958
537,0.15975541286,,BIKE LANE,649,S VINCENNES AVE,18,E,BLVD,S LANGLEY AVE,536,OAKWOOD BLVD,650,OAKWOOD,0,0,0,0,38,GRAND BOULEVARD,48492503.1554,28196.8371573,257.096977413228
701,0.15215760154,,BIKE LANE,773,S LANGLEY AVE,19,E,BLVD,S COTTAGE GROVE AVE,700,OAKWOOD BLVD,768,OAKWOOD,0,0,0,0,38,GRAND BOULEVARD,48492503.1554,28196.8371573,244.869605555438
1252,0.25067333191,E,NEIGHBORHOOD GREENWAY,1201,N LAKEWOOD AVE,20,W,AVE,N SHERIDAN RD,1253,ALBION AVE,1200,ALBION,0,0,0,0,1,ROGERS PARK,51259902.4506,34052.3975757,403.415218925199
7400,0.627279989695,,BUFFERED BIKE LANE,6900,W 74TH ST,21,S,ST,W 69TH ST,7401,HALSTED ST,6901,HALSTED,0,0,0,0,68,ENGLEWOOD,85652323.0826,42316.8442973,1009.4957889738
5801,0.189961782756,N,BIKE LANE,5929,W ARDMORE AVE,22,N,AVE,W THORNDALE AVE,5800,KENMORE AVE,5928,KENMORE,0,0,0,0,77,EDGEWATER,48449990.8397,31004.8309456,305.710290488499
3133,0.310735078609,,BIKE LANE,3359,S SOUTH SHORE DR,23,E,ST,S GREEN BAY AVE,3132,83RD ST,3358,83RD,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,500.06667708056
524,0.515448276882,S,PROTECTED BIKE LANE,2,W HARRISON ST,24,S,ST,W MADISON ST,525,DESPLAINES ST,1,DESPLAINES,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,829.522580802255
1001,0.733729818467,,BUFFERED BIKE LANE,1557,W OAK ST,25,N,ST,W NORTH AVE,1000,CLARK ST,1556,CLARK,0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,1180.63499855181
1001,0.733729818467,,BUFFERED BIKE LANE,1557,W OAK ST,25,N,ST,W NORTH AVE,1000,CLARK ST,1556,CLARK,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,0.171312470122373
1924,0.500479275075,,NEIGHBORHOOD GREENWAY,1601,N DAMEN AVE,26,W,AVE,N ASHLAND AVE,1923,BERTEAU AVE,1600,BERTEAU,0,0,0,0,5,NORTH CENTER,57054167.85,31391.6697542,413.222700679542
1924,0.500479275075,,NEIGHBORHOOD GREENWAY,1601,N DAMEN AVE,26,W,AVE,N ASHLAND AVE,1923,BERTEAU AVE,1600,BERTEAU,0,0,0,0,6,LAKE VIEW,87214799.2728,51973.0968677,392.212753958345
