,community,bike_lanes_percent,bike_shop_density,bike_rack_density,divvy_station_density,score
0,LOOP,0.7415065948523175,0.376448623900899,1.0,1.0,100.0
1,UPTOWN,0.9143011656369272,0.40193841991553114,0.24481648940276254,0.24913261826217545,98.81802354576477
2,OAKLAND,1.0,0.0,0.027231474689051894,0.0,96.61467339205853
3,LAKE VIEW,0.6329133339108644,1.0,0.3580601546323452,0.5179989714913508,83.52126909244494
4,ROGERS PARK,0.7137172081653663,0.510427030309999,0.2138531581785439,0.38417192344216994,82.06281088710602
5,LINCOLN PARK,0.626023667903643,0.7900213215746783,0.21486829739148625,0.5115377900399013,78.52940562549021
6,NEAR SOUTH SIDE,0.68836438146115,0.3504739042895167,0.11290464841054385,0.3491252345317842,76.05967126712625
7,EDGEWATER,0.6547289174397872,0.5400298189613034,0.2319597402061959,0.191271720202814,74.63551287102204
8,NEAR NORTH SIDE,0.5380878977136367,0.682468445914778,0.34119759619649676,0.7855954512425677,73.58685271183991
9,WEST TOWN,0.5579918395957318,0.752070356998881,0.2816350416877306,0.3632369896639192,70.54072491708575
10,NEAR WEST SIDE,0.6371936066575233,0.1650831761957942,0.12205544341329004,0.43121897549716776,69.9994641688661
11,DOUGLAS,0.6277182151084809,0.18957834469080104,0.06007119594241792,0.27697827262449864,66.7794741620364
12,NORTH CENTER,0.5407584410548159,0.6114526076488906,0.2211972248420384,0.284246506813437,65.51077766037956
13,EAST GARFIELD PARK,0.6331275167318721,0.0,0.05299740786451432,0.21498142061169923,64.18725491727196
14,LOGAN SQUARE,0.38534182015466156,0.9588108362431325,0.18965476802200898,0.289430668431646,54.409701890841376
15,LOWER WEST SIDE,0.4606746172827117,0.32083639009849896,0.11860635577469968,0.21306784626669265,52.210468899046546
16,LINCOLN SQUARE,0.42569952981557985,0.3666935673615332,0.18849124771971387,0.29222598576272085,51.18861806070451
17,HYDE PARK,0.3764696243471241,0.7734314526373943,0.11436843060189106,0.30818207460402436,50.64377748521329
18,KENWOOD,0.45217499523624943,0.0,0.085553777850486,0.23907527921552477,47.445728626282644
19,HEGEWISCH,0.46677074993500345,0.0,0.01199082723295871,0.039680171698541,45.56582257163196
20,WEST GARFIELD PARK,0.42677873495791924,0.0,0.05870203485280754,0.1604734974508815,43.73117659369999
21,ALBANY PARK,0.3619687374625145,0.48866921272369584,0.10839033779676022,0.12981033312326284,43.60136222494222
22,NORTH PARK,0.39148319227330636,0.12408081425473536,0.04587002489272934,0.049441333973663265,40.33528499228204
23,JEFFERSON PARK,0.39688616035216684,0.0,0.045442777723445966,0.0,38.761888723266665
24,AVONDALE,0.33713547834497015,0.15773894009766906,0.05498055947894246,0.23046017848256717,37.79578723246366
25,WOODLAWN,0.3320000958864143,0.150851039482975,0.06691968595859615,0.22039679905292411,37.24099147436218
