,comm_num,community,area_kmsq,length_streets_m,percent of housing crowded,percent households below poverty,percent aged 16+ unemployed,percent aged 25+ without high school diploma,percent aged under 18 or over 64,per capita income ,hardship index,geoid,med_age,white,hisp,black,asian,other,pop,percent_white,percent_hisp,percent_black,percent_asian,percent_other
0,1,ROGERS PARK,51.2599024506,57712.37959916629,7.7,23.6,8.7,18.2,27.5,23939,39.0,1.0,34.0,24357.0,10887.0,15187.0,2695.0,2349.0,79832.0,30.510321675518586,13.637388515883355,19.023699769515982,3.3758392624511475,2.9424291011123356
1,2,WEST RIDGE,98.4290948621,121335.20289223488,7.8,17.2,8.8,20.8,38.5,23040,46.0,2.0,35.5,31836.0,14835.0,9086.0,18650.0,4059.0,110302.0,28.86257728780983,13.449438813439466,8.237384634911425,16.90812496600243,3.679897010027017
2,3,UPTOWN,65.0956427289,63769.09038183651,3.8,24.0,8.9,11.8,22.2,35787,20.0,3.0,36.5,31974.0,8609.0,10476.0,6207.0,1713.0,90953.0,35.15442041493959,9.465328246456961,11.518036788231283,6.824403812958341,1.883390322474245
3,4,LINCOLN SQUARE,71.3523282399,76974.12844095183,3.4,10.9,8.2,13.4,25.5,37524,17.0,4.0,35.3,27165.0,7611.0,1470.0,3820.0,2037.0,69268.0,39.21724317145002,10.987757694750822,2.1221920656002773,5.514812034417047,2.9407518623318127
4,5,NORTH CENTER,57.05416785,73743.37585878016,0.3,7.5,5.2,4.5,26.2,57123,6.0,5.0,34.6,27629.0,4070.0,750.0,1737.0,1357.0,63172.0,43.736148926739695,6.4427277907933895,1.1872348508833028,2.7496359146457294,2.1481035901981893
5,6,LAKE VIEW,87.2147992728,111928.44723301037,1.1,11.4,4.7,2.6,17.0,60058,5.0,6.0,31.5,78668.0,8674.0,4044.0,7023.0,2907.0,179984.0,43.70832962930038,4.819317272646457,2.246866388123389,3.9020135123122057,1.6151435683171838
6,7,LINCOLN PARK,88.3164004728,108160.08817529301,0.8,12.3,5.1,3.6,21.5,71551,2.0,7.0,30.8,54642.0,4340.0,3414.0,4995.0,2074.0,124107.0,44.02813701080519,3.4969824425697182,2.7508520873117552,4.024752834247867,1.6711386142602753
7,8,NEAR NORTH SIDE,76.6758959728,116295.71150385008,1.9,12.9,7.0,2.5,22.6,88669,1.0,8.0,34.9,65416.0,5257.0,7649.0,12506.0,2490.0,158734.0,41.21108269179886,3.3118298537175397,4.818753386168054,7.878589338138017,1.5686620383786714
8,9,EDISON PARK,31.6363137864,42247.49544280479,1.1,3.3,6.5,7.4,35.3,40959,8.0,9.0,41.9,9246.0,1122.0,42.0,384.0,318.0,20358.0,45.41703507220748,5.511346890657236,0.20630710285882697,1.8862363689949895,1.5620394930739758
9,10,NORWOOD PARK,121.95910547,163592.90867413176,2.0,5.4,9.0,11.5,39.5,32875,21.0,10.0,42.9,29421.0,5749.0,297.0,1618.0,998.0,67504.0,43.58408390613889,8.516532353638302,0.4399739274709647,2.396894998814885,1.4784309077980564
