,comm_num,Clus_km
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,2
6,7,2
7,8,2
8,9,3
9,10,0
10,11,1
11,12,1
12,13,3
13,14,0
14,15,0
15,16,0
16,17,0
17,18,3
18,19,0
19,20,3
20,21,1
21,22,0
22,23,1
23,24,2
24,25,0
25,26,3
26,27,3
27,28,0
28,29,1
29,30,0
30,31,1
31,32,0
32,33,1
33,34,3
34,35,3
35,36,3
36,37,3
37,38,3
38,39,3
39,40,3
40,41,1
41,42,3
42,43,1
43,44,1
44,45,3
45,46,3
46,47,3
47,48,3
48,49,1
49,50,3
50,51,3
51,52,3
52,53,3
53,54,3
54,55,3
55,56,1
56,57,3
57,58,1
58,59,3
59,60,1
60,61,1
61,62,3
62,63,1
63,64,1
64,65,1
65,66,1
66,67,3
67,68,3
68,69,3
69,70,1
70,71,1
71,72,1
72,73,3
73,74,1
74,75,3
75,77,0
